#,License Plate,Created At,Pickup Date,Return Date,Total Days,Odometer at Pickup,Odometer at Return
42723,a09541,04/05/2022 ,04/18/2022 ,04/18/2022 ,0,26170.0,26180.0
42724,abcc-53,04/05/2022 ,04/18/2022 ,04/18/2022 ,0,1900.0,1910.0
42725,A20881,04/05/2022 ,04/06/2022 ,04/06/2022 ,0,404.0,454.0
42726,A20435,04/05/2022 ,04/06/2022 ,04/07/2022 ,1,500.0,647.0
42727,A19404,04/05/2022 ,04/12/2022 ,04/13/2022 ,0,6820.0,6820.0
42728,A17399,04/05/2022 ,04/12/2022 ,04/13/2022 ,0,4378.0,4378.0
42729,A17400,04/05/2022 ,04/06/2022 ,04/13/2022 ,8,6880.0,6880.0
42730,abcc-57,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,145.0,231.0
42737,abcc-57,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,140.0,145.0
42739,A20670,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,1892.0,1892.0
42740,abcc-60,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,257.0,257.0
42742,a15404,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,7995.0,8079.0
42743,A19423,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,6430.0,6510.0
42744,A18378,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,2172.0,2172.0
42745,a20425,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,1911.0,1965.0
42746,757XRA,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,410.0,471.0
42748,A20261,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,3344.0,3400.0
42750,A17577,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,3003.0,3059.0
42751,A19230,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,6201.0,6201.0
42752,A20262,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,1040.0,1040.0
42753,a17492,04/06/2022 ,04/06/2022 ,04/08/2022 ,2,7600.0,7700.0
42754,A18129,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,1567.0,1641.0
42755,A17105,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,7998.0,8071.0
42756,abc8120,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,13600.0,13600.0
42757,A20185,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,2700.0,2701.0
42758,A19407,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,6040.0,6225.0
42759,070XPZ,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,11111.0,11112.0
42760,A17837,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,3098.0,3141.0
42761,A18145,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,1650.0,1776.0
42762,abcc-51,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,9510.0,9520.0
42763,919XPX,04/06/2022 ,04/06/2022 ,04/08/2022 ,2,4491.0,4643.0
42764,D84144,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,0.0,0.0
42772,A15915,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,15962.0,150050.0
42773,abcc-60,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,257.0,257.0
42774,A18234,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,13787.0,13826.0
42775,A20670,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,1892.0,1892.0
42776,A09296,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,22072.0,22072.0
42777,a11002,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,18739.0,18778.0
42779,A20699,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,1054.0,1082.0
42780,D78008,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,0.0,0.0
42781,A07215,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,30020.0,30069.0
42782,A18379,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,6330.0,6341.0
42783,A17579,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,4209.0,4247.0
42784,A18129,04/06/2022 ,04/07/2022 ,04/08/2022 ,1,1641.0,1786.0
42785,A17013,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,7718.0,7740.0
42786,A18234,04/06/2022 ,04/07/2022 ,04/07/2022 ,0,13826.0,13826.0
42787,A20303,04/06/2022 ,04/06/2022 ,04/08/2022 ,2,2084.0,2104.0
42788,A17842,04/06/2022 ,04/06/2022 ,04/08/2022 ,2,6394.0,6414.0
42789,A17010,04/06/2022 ,04/06/2022 ,04/08/2022 ,2,6573.0,6593.0
42790,A20263,04/06/2022 ,04/06/2022 ,04/08/2022 ,2,1563.0,1583.0
42791,A20186,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,2120.0,2155.0
42793,666XRA,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,3105.0,3221.0
42795,A20697,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,1187.0,1227.0
42796,A19411,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,7821.0,7851.0
42797,A17105,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,8071.0,8110.0
42798,A20997,04/06/2022 ,05/14/2022 ,05/15/2022 ,1,715.0,783.0
42799,A20522,04/06/2022 ,05/14/2022 ,05/15/2022 ,1,466.0,467.0
42800,A20668,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,2020.0,2068.0
42801,abc8120,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,13600.0,13661.0
42802,A20301,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,1203.0,1268.0
42803,A19408,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,6960.0,6986.0
42804,A20671,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,2477.0,2505.0
42805,A17399,04/06/2022 ,04/06/2022 ,04/09/2022 ,3,4130.0,4213.0
42806,A20520,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,465.0,465.0
42807,A20426,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,789.0,831.0
42808,A20430,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,895.0,960.0
42809,A17397,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,6147.0,6208.0
42810,A18144,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,2268.0,2342.0
42813,a09541,04/06/2022 ,04/20/2022 ,04/20/2022 ,0,26189.0,26200.0
42814,abcc-53,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,25.0,1524.0
42815,A21094,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,100.0,180.0
42816,A19414,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,4194.0,4242.0
42817,A17575,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,6540.0,6553.0
42818,A19404,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,6615.0,6639.0
42821,A20132,04/06/2022 ,04/06/2022 ,04/07/2022 ,1,3941.0,3942.0
42822,A17834,04/06/2022 ,04/06/2022 ,04/07/2022 ,1,4032.0,4033.0
42826,A17395,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,7741.0,7764.0
42827,A20700,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,1171.0,1198.0
42828,A19116,04/06/2022 ,04/06/2022 ,04/06/2022 ,0,6549.0,6588.0
42829,130XPZ,04/06/2022 ,04/07/2022 ,04/07/2022 ,0,13278.0,13278.0
42835,A19423,04/06/2022 ,04/07/2022 ,04/07/2022 ,0,6510.0,6565.0
42836,A17397,04/06/2022 ,04/07/2022 ,04/07/2022 ,0,6208.0,6262.0
42840,A20134,04/06/2022 ,04/13/2022 ,04/13/2022 ,0,1000.0,1001.0
42841,A17835,04/06/2022 ,04/13/2022 ,04/13/2022 ,0,2853.0,2869.0
42842,A19408,04/06/2022 ,04/13/2022 ,04/13/2022 ,0,7211.0,7227.0
42843,A19407,04/06/2022 ,04/13/2022 ,04/13/2022 ,0,6312.0,6328.0
42844,a17492,04/06/2022 ,04/09/2022 ,04/09/2022 ,0,7702.0,8168.0
42845,A18520,04/06/2022 ,04/09/2022 ,04/09/2022 ,0,4828.0,4957.0
42846,a20425,04/06/2022 ,04/09/2022 ,04/09/2022 ,0,2000.0,2176.0
42847,A18127,04/06/2022 ,04/09/2022 ,04/09/2022 ,0,5062.0,5062.0
42850,A09296,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,22072.0,22155.0
42851,A18144,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,2342.0,2383.0
42852,A17105,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,8110.0,8111.0
42853,124XPY,04/07/2022 ,04/08/2022 ,04/10/2022 ,2,2141.0,2150.0
42854,a18320,04/07/2022 ,04/18/2022 ,04/18/2022 ,0,5354.0,5416.0
42855,A20135,04/07/2022 ,04/18/2022 ,04/18/2022 ,0,2537.0,2589.0
42856,A20262,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,1040.0,1266.0
42857,197xpz,04/07/2022 ,04/07/2022 ,04/08/2022 ,1,5688.0,6172.0
42858,199xpz,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,4864.0,4874.0
42859,A18520,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,4759.0,4804.0
42860,A20330,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,1380.0,1426.0
42861,757XRA,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,471.0,472.0
42862,A20697,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,1227.0,1228.0
42863,A20699,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,1082.0,1083.0
42867,926xpw,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,5881.0,5898.0
42868,070XPZ,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,11112.0,11112.0
42870,A20668,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,2068.0,2068.0
42872,A19027,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,14166.0,14175.0
42873,abcc-60,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,257.0,260.0
42874,abcc-52,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,1739.0,1739.0
42875,462xpu,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,11165.0,11166.0
42876,A20671,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,2505.0,2510.0
42877,A19411,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,7851.0,7866.0
42878,A19230,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,5844.0,5844.0
42879,A17577,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,3059.0,3093.0
42882,A15915,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,150050.0,1503600.0
42883,A17995,04/07/2022 ,04/07/2022 ,04/08/2022 ,1,1623.0,1665.0
42885,D 56955,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,0.0,0.0
42886,A17404,04/07/2022 ,04/08/2022 ,04/08/2022 ,0,3617.0,3700.0
42887,A20426,04/07/2022 ,04/08/2022 ,04/08/2022 ,0,843.0,950.0
42888,904xpx,04/07/2022 ,04/07/2022 ,04/10/2022 ,3,7100.0,7169.0
42889,abcc-53,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,1524.0,1525.0
42890,A19414,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,4242.0,4287.0
42891,a11000,04/07/2022 ,04/09/2022 ,04/09/2022 ,0,13732.0,13735.0
42892,A19025,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,11763.0,11849.0
42893,abc8120,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,13661.0,13691.0
42896,D 69792,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,0.0,
42897,abc12345678,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,6403.0,6442.0
42898,A20881,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,454.0,496.0
42899,A20435,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,647.0,657.0
42900,A20135,04/07/2022 ,04/07/2022 ,04/09/2022 ,2,2118.0,2119.0
42901,a18320,04/07/2022 ,04/07/2022 ,04/09/2022 ,2,5040.0,5173.0
42902,666XRA,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,3221.0,3222.0
42903,A17013,04/07/2022 ,04/08/2022 ,04/08/2022 ,0,7740.0,7741.0
42904,A20184,04/07/2022 ,04/08/2022 ,04/08/2022 ,0,2371.0,2372.0
42905,A17397,04/07/2022 ,04/09/2022 ,04/09/2022 ,0,6305.0,6305.0
42906,A20520,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,465.0,465.0
42907,A20700,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,1198.0,1208.0
42908,A20664,04/07/2022 ,04/08/2022 ,04/08/2022 ,0,1566.0,1576.0
42909,abcc-51,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,9520.0,9540.0
42910,abcc-57,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,231.0,265.0
42911,A21094,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,180.0,188.0
42913,A17395,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,7764.0,7793.0
42914,A17175,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,9789.0,9789.0
42917,A19115,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,10780.0,10808.0
42918,A19403,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,9844.0,9872.0
42919,633XRA,04/07/2022 ,04/07/2022 ,04/10/2022 ,3,2520.0,2665.0
42920,abcc-52,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,1739.0,1739.0
42921,A20670,04/07/2022 ,04/09/2022 ,04/09/2022 ,0,1900.0,1901.0
42922,A20671,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,2510.0,2510.0
42925,A20881,04/07/2022 ,04/07/2022 ,04/09/2022 ,2,496.0,497.0
42927,A20261,04/07/2022 ,04/07/2022 ,04/09/2022 ,2,3402.0,3627.0
42928,abcc-51,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,9540.0,9544.0
42929,A20519,04/07/2022 ,04/07/2022 ,04/09/2022 ,2,1965.0,1965.0
42931,070XPZ,04/07/2022 ,04/08/2022 ,04/08/2022 ,0,11112.0,11336.0
42934,A20664,04/07/2022 ,04/07/2022 ,04/07/2022 ,0,1564.0,1566.0
42935,A20697,04/07/2022 ,04/07/2022 ,04/12/2022 ,5,1228.0,1340.0
42939,A17986,04/07/2022 ,06/01/2022 ,06/01/2022 ,0,8037.0,8047.0
42940,A18521,04/07/2022 ,06/01/2022 ,06/01/2022 ,0,3487.0,3487.0
42941,A20519,04/07/2022 ,06/01/2022 ,06/01/2022 ,0,2800.0,2810.0
42942,A17008,04/07/2022 ,06/01/2022 ,06/01/2022 ,0,7269.0,7299.0
42943,A15915,04/07/2022 ,04/08/2022 ,04/08/2022 ,0,1503600.0,1503601.0
42946,A19414,04/07/2022 ,04/08/2022 ,04/08/2022 ,0,4287.0,4307.0
42947,A20520,04/07/2022 ,04/08/2022 ,04/08/2022 ,0,465.0,466.0
42948,A17105,04/07/2022 ,04/08/2022 ,04/08/2022 ,0,8111.0,8171.0
42949,A17995,04/07/2022 ,04/09/2022 ,04/09/2022 ,0,1674.0,1809.0
42950,A18129,04/07/2022 ,04/09/2022 ,04/09/2022 ,0,1786.0,1921.0
42951,d73950,04/07/2022 ,04/08/2022 ,04/10/2022 ,2,0.0,0.0
42955,D79459,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,0.0,0.0
42956,d73951,04/08/2022 ,04/14/2022 ,04/14/2022 ,0,0.0,0.0
42957,D78006,04/08/2022 ,04/14/2022 ,04/14/2022 ,0,0.0,
42958,d73949,04/08/2022 ,04/10/2022 ,04/10/2022 ,0,1.0,1.0
42959,d61628,04/08/2022 ,04/10/2022 ,04/10/2022 ,0,0.0,0.0
42960,D79459,04/08/2022 ,04/10/2022 ,04/10/2022 ,0,0.0,0.0
42961,A20432,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,1800.0,1801.0
42963,A20670,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,1892.0,1893.0
42964,D79460,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,0.0,0.0
42965,d73951,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,0.0,0.0
42966,d61628,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,0.0,0.0
42967,462xpu,04/08/2022 ,04/08/2022 ,04/08/2022 ,1,11166.0,11477.0
42968,D79458,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,0.0,0.0
42969,D58366,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,0.0,0.0
42970,A18144,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,2383.0,2384.0
42971,130XPZ,04/08/2022 ,04/08/2022 ,04/09/2022 ,1,13278.0,14000.0
42972,A20665,04/08/2022 ,04/17/2022 ,04/17/2022 ,0,2272.0,2274.0
42973,666XRA,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,3222.0,3300.0
42974,A19115,04/08/2022 ,04/08/2022 ,04/09/2022 ,1,10808.0,10882.0
42975,A20264,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,1329.0,1406.0
42976,A20700,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,1208.0,1312.0
42977,A17395,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,7793.0,7794.0
42978,abc8120,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,13691.0,13715.0
42979,A20435,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,657.0,778.0
42980,A17986,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,6682.0,6701.0
42981,A18520,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,4804.0,4828.0
42985,A17877,04/08/2022 ,04/30/2022 ,05/03/2022 ,3,3923.0,4020.0
42986,A18146,04/08/2022 ,04/30/2022 ,05/03/2022 ,3,4213.0,4312.0
42987,A19027,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,14235.0,14245.0
42990,A17840,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,4036.0,4037.0
42991,A17841,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,6073.0,6093.0
42992,A17878,04/08/2022 ,04/08/2022 ,04/09/2022 ,1,2385.0,2481.0
42993,A19423,04/08/2022 ,04/08/2022 ,04/09/2022 ,1,6565.0,6603.0
42994,A17579,04/08/2022 ,04/08/2022 ,04/09/2022 ,1,4247.0,4284.0
42999,A20433,04/08/2022 ,04/08/2022 ,04/10/2022 ,2,1903.0,1904.0
43000,A20186,04/08/2022 ,04/08/2022 ,04/09/2022 ,1,2155.0,2818.0
43001,A09296,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,22155.0,22200.0
43002,A19404,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,6639.0,6668.0
43003,A18521,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,1724.0,1754.0
43004,A17577,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,3093.0,3122.0
43005,abcc-51,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,9544.0,9554.0
43006,d51803,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,0.0,0.0
43008,D 56955,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,0.0,0.0
43009,abcc-57,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,265.0,270.0
43010,A19027,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,14175.0,14235.0
43012,A17842,04/08/2022 ,04/13/2022 ,04/17/2022 ,4,6601.0,6787.0
43013,A17995,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,1665.0,1674.0
43014,A19408,04/08/2022 ,04/08/2022 ,04/09/2022 ,1,6986.0,6989.0
43015,A17837,04/08/2022 ,04/08/2022 ,04/09/2022 ,1,3141.0,3141.0
43016,abcc-52,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,1739.0,1740.0
43020,A17108,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,10031.0,10065.0
43021,A17109,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,10101.0,10102.0
43022,A20698,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,794.0,816.0
43023,abcc-53,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,1525.0,1599.0
43025,A20670,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,1893.0,1900.0
43026,A20665,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,2060.0,2075.0
43031,665XRA,04/08/2022 ,04/08/2022 ,04/09/2022 ,1,1690.0,17950.0
43032,A20303,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,2104.0,2114.0
43033,A17010,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,6593.0,6603.0
43034,A18234,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,13826.0,13942.0
43035,a11000,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,13640.0,13732.0
43036,A21089,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,60.0,75.0
43037,A18127,04/08/2022 ,04/10/2022 ,04/10/2022 ,0,5062.0,5152.0
43038,A17986,04/08/2022 ,04/10/2022 ,04/10/2022 ,0,6723.0,6825.0
43039,264XPZ,04/08/2022 ,04/10/2022 ,04/10/2022 ,0,4500.0,4500.0
43040,A15915,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,1503601.0,1503602.0
43041,a11005,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,11210.0,11934.0
43042,a11002,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,18778.0,18807.0
43043,A17577,04/08/2022 ,04/09/2022 ,04/09/2022 ,0,3122.0,3155.0
43044,A17842,04/08/2022 ,04/09/2022 ,04/09/2022 ,0,6414.0,6415.0
43045,A20664,04/08/2022 ,05/07/2022 ,05/07/2022 ,0,2660.0,2697.0
43046,666XRA,04/08/2022 ,04/09/2022 ,04/09/2022 ,1,3300.0,3300.0
43047,D84144,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,0.0,0.0
43048,D78006,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,0.0,0.0
43049,D78008,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,0.0,0.0
43050,757XRA,04/08/2022 ,04/08/2022 ,04/08/2022 ,0,472.0,529.0
43054,A21290,04/08/2022 ,04/09/2022 ,04/09/2022 ,0,0.0,1.0
43056,A20668,04/08/2022 ,05/07/2022 ,05/07/2022 ,0,3171.0,3172.0
43057,462xpu,04/08/2022 ,04/09/2022 ,04/12/2022 ,2,11477.0,11560.0
43058,a09541,04/08/2022 ,04/09/2022 ,04/09/2022 ,0,26100.0,26100.0
43059,A07215,04/08/2022 ,04/09/2022 ,04/09/2022 ,0,30125.0,30214.0
43060,A15915,04/08/2022 ,04/09/2022 ,04/09/2022 ,0,1503602.0,1503602.0
43061,A20520,04/08/2022 ,04/09/2022 ,04/09/2022 ,0,466.0,466.0
43062,A19414,04/08/2022 ,04/09/2022 ,04/09/2022 ,0,4307.0,4360.0
43064,abcc-53,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,1599.0,1638.0
43065,A20699,04/09/2022 ,04/09/2022 ,04/10/2022 ,1,1084.0,1213.0
43066,A17108,04/09/2022 ,04/09/2022 ,04/10/2022 ,1,10065.0,10271.0
43067,A20668,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,2100.0,2101.0
43069,A20665,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,2075.0,2085.0
43073,A17836,04/09/2022 ,04/09/2022 ,04/11/2022 ,2,3198.0,3199.0
43074,A20997,04/09/2022 ,04/09/2022 ,04/12/2022 ,3,44.0,55.0
43075,D79459,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,0.0,0.0
43076,D 56951,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,1.0,1.0
43077,d73952,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,0.0,0.0
43078,A19408,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,6989.0,7115.0
43079,A17835,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,2647.0,2853.0
43080,A18130,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,4018.0,4190.0
43081,A20262,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,1266.0,1291.0
43082,A18378,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,2172.0,2259.0
43083,A19027,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,14245.0,14250.0
43084,a11003,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,18180.0,18190.0
43086,070XPZ,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,11336.0,11336.0
43087,A20184,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,2372.0,2427.0
43088,A20132,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,3997.0,4007.0
43089,A20301,04/09/2022 ,04/10/2022 ,04/10/2022 ,0,1306.0,1347.0
43090,A17008,04/09/2022 ,04/10/2022 ,04/10/2022 ,0,6962.0,6966.0
43091,A21091,04/09/2022 ,04/12/2022 ,04/13/2022 ,0,435.0,462.0
43092,A20665,04/09/2022 ,04/12/2022 ,04/13/2022 ,0,2100.0,2228.0
43093,abcc-57,04/09/2022 ,04/12/2022 ,04/13/2022 ,0,378.0,404.0
43094,A20693,04/09/2022 ,04/12/2022 ,04/13/2022 ,0,1775.0,1802.0
43095,A20666,04/09/2022 ,04/12/2022 ,04/13/2022 ,0,2285.0,2312.0
43096,A17834,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,4113.0,4174.0
43097,A19115,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,10882.0,10944.0
43098,A19228,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,8789.0,8852.0
43099,A18144,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,2384.0,2461.0
43101,A20135,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,2119.0,2230.0
43102,A17575,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,6554.0,6673.0
43103,D76146,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,0.0,0.0
43104,D79458,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,0.0,0.0
43106,abc8120,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,13715.0,13758.0
43107,A20330,04/09/2022 ,04/09/2022 ,04/13/2022 ,4,1427.0,1547.0
43108,A19400,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,9779.0,9818.0
43109,A20185,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,2703.0,2703.0
43110,abcc-57,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,270.0,270.0
43111,A17986,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,6701.0,6723.0
43112,A17576,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,6470.0,6504.0
43113,A20671,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,2600.0,2604.0
43114,a11005,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,11934.0,11936.0
43115,A18234,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,13942.0,13961.0
43116,A21089,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,75.0,85.0
43117,A18378,04/09/2022 ,04/10/2022 ,04/10/2022 ,0,2259.0,2300.0
43118,A17397,04/09/2022 ,04/10/2022 ,04/10/2022 ,0,6305.0,6400.0
43119,A20877,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,150.0,150.0
43120,A20133,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,1436.0,1436.0
43122,A20671,04/09/2022 ,04/10/2022 ,04/10/2022 ,0,2619.0,2669.0
43123,A20429,04/09/2022 ,04/09/2022 ,04/09/2022 ,0,630.0,730.0
