#,License Plate,Created At,Pickup Date,Return Date,Total Days,Odometer at Pickup,Odometer at Return
30079,A09296,12/10/2021 ,01/09/2022 ,01/09/2022 ,1,19130.0,19178.0
30127,a17493,12/10/2021 ,01/04/2022 ,01/04/2022 ,0,4569.0,4570.0
30129,A20131,12/10/2021 ,01/04/2022 ,01/04/2022 ,0,260.0,262.0
30130,A18520,12/10/2021 ,01/04/2022 ,01/04/2022 ,0,1669.0,1682.0
30131,A18519,12/10/2021 ,01/04/2022 ,01/04/2022 ,0,1362.0,1377.0
30132,A19424,12/10/2021 ,01/04/2022 ,01/04/2022 ,0,6605.0,6638.0
30259,A17986,12/11/2021 ,01/26/2022 ,01/26/2022 ,0,4108.0,4282.0
30260,A19410,12/11/2021 ,01/26/2022 ,01/26/2022 ,0,5969.0,6164.0
30411,A17494,12/13/2021 ,12/13/2021 ,01/12/2022 ,30,4588.0,4753.0
30444,A17174,12/14/2021 ,01/08/2022 ,01/08/2022 ,0,7925.0,7941.0
30445,A19415,12/14/2021 ,01/08/2022 ,01/08/2022 ,0,6498.0,6542.0
30534,A17396,12/15/2021 ,01/10/2022 ,01/13/2022 ,3,5092.0,5092.0
30597,d73952,12/15/2021 ,01/11/2022 ,01/11/2022 ,0,0.0,0.0
30598,D 56956,12/15/2021 ,01/11/2022 ,01/11/2022 ,0,0.0,0.0
30601,A17494,12/15/2021 ,01/13/2022 ,01/17/2022 ,4,4797.0,4976.0
30689,A15642,12/16/2021 ,01/01/2022 ,01/01/2022 ,0,7666.0,7667.0
30713,A17010,12/17/2021 ,02/21/2022 ,02/21/2022 ,0,5852.0,5995.0
30714,A17396,12/17/2021 ,02/21/2022 ,02/21/2022 ,0,6238.0,6238.0
30752,A20131,12/17/2021 ,01/05/2022 ,01/05/2022 ,0,262.0,262.0
30753,A17576,12/17/2021 ,01/05/2022 ,01/05/2022 ,0,3921.0,3921.0
30871,904xpx,12/18/2021 ,01/16/2022 ,01/22/2022 ,7,4296.0,4296.0
30967,A18520,12/19/2021 ,01/11/2022 ,01/11/2022 ,0,1784.0,1791.0
30968,a17492,12/19/2021 ,01/11/2022 ,01/11/2022 ,0,4906.0,4916.0
30976,a17493,12/19/2021 ,01/07/2022 ,01/07/2022 ,0,4592.0,4617.0
30977,A18520,12/19/2021 ,01/07/2022 ,01/07/2022 ,0,1715.0,1740.0
30978,A17576,12/19/2021 ,01/07/2022 ,01/07/2022 ,0,3949.0,3999.0
31016,A19230,12/20/2021 ,02/03/2022 ,02/04/2022 ,1,4838.0,4905.0
31017,A19416,12/20/2021 ,02/03/2022 ,02/04/2022 ,1,7063.0,7116.0
31060,a05893,12/20/2021 ,01/03/2022 ,01/03/2022 ,0,26941.0,26952.0
31061,A15642,12/20/2021 ,01/05/2022 ,01/05/2022 ,0,7668.0,7712.0
31062,A17986,12/20/2021 ,01/05/2022 ,01/05/2022 ,0,3471.0,3489.0
31063,A17576,12/20/2021 ,01/05/2022 ,01/05/2022 ,0,3902.0,3921.0
31064,A17009,12/20/2021 ,01/05/2022 ,01/05/2022 ,0,6870.0,6883.0
31141,A15642,12/21/2021 ,01/08/2022 ,01/09/2022 ,1,7772.0,7793.0
31142,a17492,12/21/2021 ,01/08/2022 ,01/09/2022 ,1,4852.0,4874.0
31143,A18127,12/21/2021 ,01/08/2022 ,01/09/2022 ,1,3107.0,3112.0
