,,Pickup Date,count,,,
,,3/29/2022,1,,,
32354,A20132,12/31/2021,1/5/2022,5,103,411
32355,A18127,12/31/2021,1/5/2022,5,2893,3051
,,3/29/2022,1,,,
,,3/29/2022,1,,,
,,3/29/2022,1,,,
,,3/29/2022,1,,,
,,3/29/2022,1,,,
,,3/29/2022,1,,,
,,3/29/2022,1,,,
,,3/29/2022,1,,,
,,3/29/2022,1,,,
,,3/29/2022,1,,,
,,3/29/2022,1,,,
,,3/28/2022,1,,,
,,3/28/2022,1,,,
,,3/28/2022,1,,,
,,3/28/2022,1,,,
,,3/28/2022,1,,,
,,3/28/2022,1,,,
,,3/28/2022,1,,,
,,3/28/2022,1,,,
,,3/28/2022,1,,,
,,3/28/2022,1,,,
,,3/27/2022,1,,,
,,3/27/2022,1,,,
,,3/27/2022,1,,,
,,3/27/2022,1,,,
,,3/27/2022,1,,,
,,3/27/2022,1,,,
,,3/27/2022,1,,,
,,3/27/2022,1,,,
,,3/27/2022,1,,,
,,3/27/2022,1,,,
,,3/27/2022,1,,,
,,3/26/2022,1,,,
,,3/26/2022,1,,,
,,3/26/2022,1,,,
,,3/26/2022,1,,,
,,3/26/2022,1,,,
,,3/26/2022,1,,,
,,3/26/2022,1,,,
,,3/26/2022,1,,,
,,3/26/2022,1,,,
,,3/26/2022,1,,,
,,3/25/2022,1,,,
,,3/25/2022,1,,,
,,3/25/2022,1,,,
,,3/25/2022,1,,,
,,3/25/2022,1,,,
,,3/25/2022,1,,,
,,3/25/2022,1,,,
,,3/25/2022,1,,,
,,3/24/2022,1,,,
,,3/24/2022,1,,,
,,3/24/2022,1,,,
,,3/24/2022,1,,,
,,3/24/2022,1,,,
,,3/24/2022,1,,,
,,3/24/2022,1,,,
,,3/24/2022,1,,,
,,3/24/2022,1,,,
,,3/24/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/23/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
,,3/22/2022,1,,,
